Plik;Reka;Palec;Proba;KMM - Czas (s);KMM - Zakonczenia;KMM - Bifurkacje;KMM - Suma Minucji;Morf - Czas (s);Morf - Zakonczenia;Morf - Bifurkacje;Morf - Suma Minucji
l11.bmp;l;1;1;0,4950;303;1;304;0,6089;346;240;586
l12.bmp;l;1;2;0,4559;274;8;282;0,4709;293;200;493
l13.bmp;l;1;3;0,3276;245;1;246;0,4647;298;148;446
l14.bmp;l;1;4;0,3932;273;0;273;0,4712;293;151;444
l21.bmp;l;2;1;0,1610;146;4;150;0,2100;191;104;295
l22.bmp;l;2;2;0,2811;202;4;206;0,3233;241;163;404
l23.bmp;l;2;3;0,2814;211;4;215;0,3070;231;144;375
l24.bmp;l;2;4;0,2101;132;6;138;0,1713;141;98;239
l31.bmp;l;3;1;0,2373;154;4;158;0,2757;213;173;386
l32.bmp;l;3;2;0,2311;174;4;178;0,2945;217;150;367
l33.bmp;l;3;3;0,1670;165;7;172;0,1992;182;93;275
l34.bmp;l;3;4;0,2398;169;10;179;0,2618;215;137;352
l41.bmp;l;4;1;0,1101;117;0;117;0,1744;173;93;266
l42.bmp;l;4;2;0,1520;108;3;111;0,1886;158;90;248
l43.bmp;l;4;3;0,1979;149;1;150;0,2074;182;109;291
l44.bmp;l;4;4;0,2387;161;3;164;0,2373;203;125;328
l51.bmp;l;5;1;0,1285;104;0;104;0,1621;151;79;230
l52.bmp;l;5;2;0,1459;121;6;127;0,1671;153;100;253
l53.bmp;l;5;3;0,1342;109;1;110;0,1484;147;107;254
l54.bmp;l;5;4;0,1426;118;3;121;0,1528;150;88;238
r11.bmp;r;1;1;0,3752;225;5;230;0,3727;249;193;442
r12.bmp;r;1;2;0,4898;272;4;276;0,4469;273;241;514
r13.bmp;r;1;3;0,3462;239;3;242;0,4151;281;190;471
r14.bmp;r;1;4;0,3704;239;8;247;0,3745;243;206;449
r21.bmp;r;2;1;0,2401;194;0;194;0,1928;179;132;311
r22.bmp;r;2;2;0,2296;172;0;172;0,1725;160;135;295
r23.bmp;r;2;3;0,2246;163;0;163;0,1832;174;132;306
r24.bmp;r;2;4;0,1950;172;0;172;0,2734;219;140;359
r31.bmp;r;3;1;0,2798;189;3;192;0,2330;208;123;331
r32.bmp;r;3;2;0,2718;198;3;201;0,2396;217;135;352
r33.bmp;r;3;3;0,2051;167;6;173;0,2138;191;112;303
r34.bmp;r;3;4;0,1986;182;1;183;0,2619;225;115;340
r41.bmp;r;4;1;0,1845;154;3;157;0,2201;200;110;310
r42.bmp;r;4;2;0,1987;148;2;150;0,2435;208;114;322
r43.bmp;r;4;3;0,1682;138;0;138;0,2166;189;104;293
r44.bmp;r;4;4;0,1743;144;6;150;0,2979;229;105;334
r51.bmp;r;5;1;0,2004;138;1;139;0,2180;183;114;297
r52.bmp;r;5;2;0,1669;127;6;133;0,1571;151;98;249
r53.bmp;r;5;3;0,1676;136;1;137;0,1354;135;121;256
r54.bmp;r;5;4;0,1578;122;2;124;0,1491;147;82;229


PODSUMOWANIE (ŚREDNIE Z PRÓB)
Reka;Palec;KMM - Czas;KMM - Zak;KMM - Bif;KMM - Suma;Morf - Czas;Morf - Zak;Morf - Bif;Morf - Suma
l;1;0,4179;273,75;2,50;276,25;0,5039;307,50;184,75;492,25
l;2;0,2334;172,75;4,50;177,25;0,2529;201,00;127,25;328,25
l;3;0,2188;165,50;6,25;171,75;0,2578;206,75;138,25;345,00
l;4;0,1747;133,75;1,75;135,50;0,2019;179,00;104,25;283,25
l;5;0,1378;113,00;2,50;115,50;0,1576;150,25;93,50;243,75
r;1;0,3954;243,75;5,00;248,75;0,4023;261,50;207,50;469,00
r;2;0,2223;175,25;0,00;175,25;0,2055;183,00;134,75;317,75
r;3;0,2388;184,00;3,25;187,25;0,2371;210,25;121,25;331,50
r;4;0,1814;146,00;2,75;148,75;0,2445;206,50;108,25;314,75
r;5;0,1732;130,75;2,50;133,25;0,1649;154,00;103,75;257,75
